;Requierments Klimaanlage;;;;;;;;
;;;;;;;;;
ID;Kundenanfoderungen;relationID;ParentID;ID_SW;Software Anfoderungen Abgeleitet;;;;
1;"Die Klimaanlage muss in der Lage sein, die Innenraumtemperatur in einem Bereich von 
16°C bis 28°C zu regeln. ";1;1, 2;1;"Die Klimaanlagensteuerung muss die Temperatur auf eine voreingestellte Zieltemperatur 
zwischen 16°C und 28°C regeln können.";;;;
2;"Die Klimaanlage muss bei allen üblichen Außentemperaturen zwischen 
-20°C und +50°C zuverlässig funktionieren.";1;2;2;"Die Software muss die Klimaanlage so steuern, dass sie die Innenraumtemperatur in 
maximal 5 Minuten um mindestens 10°C herunterkühlt oder aufheizen kann.";;;;
3;"Die Klimaanlage soll das Fahrzeug innerhalb von 5 Minuten auf eine angenehme Temperatur 
herunterkühlen oder aufheizen.";1;3;3;"Die Software muss die Innenraumtemperatur auf ±1°C der eingestellten Zieltemperatur 
halten.";;;;
4;"Die Temperatur im Fahrzeuginnenraum soll konstant gehalten werden und Schwankungen
 von ±1°C nicht überschreiten. ";3;3, 4;4;"Die Klimaanlage muss basierend auf der Innenraum- und Außentemperatur selbständig 
die Innenraumtemperatur auf den vom Nutzer eingestellten Sollwert regeln. ";;;;
5;"Die Klimaanlage soll einen Automatikmodus besitzen, der selbstständig die ideale 
Temperatur auf Innen- und Außentemperatur regelt. ";1,2;5;5;Die Software muss eine Fehlererkennungsfunktion implementieren, die bei einem Außentemperaturen ab -20°C und  niedriger, sowie +50°C und höher einen Sicherheitsmodus aktiviert. ;;;;
6;"Bei einem Defekt oder einem ungewöhnlich hohen Energieverbrauch soll die Klimaanlage 
in einen sicheren Modus wechseln, der keine weiteren Schäden verursacht und einen Hinweis im Fahrzeugdisplay gibt. ";;2;6;Die Software muss eine Fehlererkennungsfunktion implementieren, die bei einem Energieverbrauch größer als 5kW einen Sicherheitsmodus aktiviert. ;;;;
7;;2;6;7;Im Sicherheitsmodus muss die Klimaanlage deaktiviert werden bis der Energieverbrauch wieder unter 5kW und die Temperatur wieder über -20°C oder unter 50°C beträgt.;;;;
;;;6;8;"Eine Meldung „Klimaanlage im Sicherheitsmodus“ muss im Fahrzeugdisplay erscheinen, 
wenn der Sicherheitsmodus aktiviert ist";;;;
;;;1;9;Die Temperatur muss in 1°C Schritten zwischen 16°C und 28°C vom Nutzer am Bedienelement der Klimaanlagensteuerung eingestellt werden können.;;;;
;;;;10;;;;;
;;;;11;;;;;
;;;;12;;;;;
;;;;;;;;;
;;;;;;;;;
